Tweet,Polaridad,Subjetividad
"Resuelto, muchísimas gracias , excelente servicio como siempre",1,1
"Muchas gracias, espero su dm",0.26,0.26
Muchas gracias!,0.25,0.2
Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,0.25,0.5125
Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,0.6510416666666665,0.6666666666666666
Esta es la señal que necesitan para tener el mínimo dinero en banamex,0,0
Gracias 😁,0,0
Muchas gracias 😊,0.26,0.26
"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",0.6,0.25
Gracias por la playera que me dieron en Galerías GDL.,0.2,0.2
