Tweet,Polaridad,Subjetividad
"Resuelto, muchísimas gracias , excelente servicio como siempre",1,1
"Muchas gracias, espero su dm",0.26,0.26
Muchas gracias!,0.25,0.2
Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,0.25,0.5125
Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,0.6510416666666665,0.6666666666666666
Esta es la señal que necesitan para tener el mínimo dinero en banamex,0,0
Gracias 😁,0,0
Muchas gracias 😊,0.26,0.26
"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",0.6,0.25
Gracias por la playera que me dieron en Galerías GDL.,0.2,0.2
buen día...tengo problemas con mi cuenta,0.7,0.6000000000000001
Gracias,0.2,0.16
Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,0.2,0.2
"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",0.2,0.2
"Ya todo bien, gracias 👍",0.44999999999999996,0.4
Milagro que me gano algo 🫶🏻,0,0
Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,0.3666666666666667,0.43333333333333335
nunca había ganado nada antes ✨ hahaha,0.2,0.4
Con el CashBack de pude pagar mi servicio de internet. yei :),0.5,0.8125
Gracias!!!,0,0
"Listo, gracias",0.2,0.35
Si gracias,0.2,0.2
A mí me llegó una semana después aprox,0,0
hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,0.48,0.43000000000000005
Muchas gracias!,0.25,0.2
Muchas gracias 🙏,0.26,0.26
"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",0.5,0.5
"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",0.65,0.3333333333333333
Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,0.5733333333333334,0.7333333333333334
"Pues bueno, me quedé sin cena, muchas gracias 👍",0.26,0.26
"Gracias e igualmente, bendiciones 🙏",0.2,0.2
Vale estoy esperando,0.5,0.5
Muchas gracias espero la respuesta,0.26,0.26
Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,0.7333333333333334,0.9666666666666667
es mejor,0.5,0.5
Contéstenme por favor,0,0
Muchas gracias que amables 😊,0.3175,0.38
"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",0.51,0.75
amigos les mandé dm gracias,0,0
solicito su ayuda gracias,0.2,0.2
Gracias!Ya respondí.Quedo atenta,0.325,0.55
Va gracias,0.2,0.2
No sé ni a qué le piqué pero muchas gracias😂❤️,0.2,0.3
"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",0.2,0.2
Por eso son mi banco 1 ⭐⭐⭐⭐⭐,0,0
Gracias,0,0
Thanks!,0.25,0.2
Muchas gracias!,0.25,0.2
